route_id,distance_km,fuel_cost,maintenance_cost,no_passengers,time_slot,travel_duration_min,total_cost
R007,18.66,2.34,9.89,5,Night,41.37,62.27
R001,18.07,2.13,7.97,10,Night,35.66,54.67
R014,21.58,2.49,9.29,17,Afternoon,50.06,74.74
R008,22.84,2.37,12.55,21,Evening,64.3,81.59
R004,30.46,2.19,15.58,13,Afternoon,77.78,99.06
R008,19.56,2.74,8.86,17,Morning,70.46,78.28
R009,36.75,3.32,20.16,12,Morning,124.33,168.21
R009,35.99,2.51,17.04,11,Night,71.24,122.85
R009,33.8,2.73,14.06,23,Evening,107.67,130.18
R007,17.74,3.07,9.14,22,Morning,61.62,78.12
R006,34.41,2.39,17.4,8,Night,72.7,114.93
R008,19.75,2.61,9.19,32,Evening,54.45,74.86
R009,35.77,2.23,14.05,4,Night,71.44,108.51
R005,36.42,2.33,18.14,10,Night,68.17,117.69
R001,15.03,2.8,7.71,22,Morning,45.57,61.05
R003,23.95,2.35,13.05,21,Evening,66.35,84.61
R001,15.65,2.64,9.45,27,Evening,39.57,61.44
R017,40.0,2.55,18.8,17,Afternoon,95.77,141.48
R020,41.76,2.19,22.19,10,Night,87.93,132.18
R014,20.61,2.6,12.04,17,Morning,73.22,81.97
R019,9.33,2.26,4.51,21,Afternoon,25.03,32.66
R002,36.2,3.03,15.29,23,Morning,117.44,150.91
R003,18.79,2.38,8.95,8,Night,40.43,62.55
R003,17.98,1.81,6.69,7,Night,41.51,48.27
R003,23.55,3.66,12.91,17,Afternoon,64.54,113.6
R012,30.54,2.25,15.6,23,Evening,86.49,104.06
R017,31.03,2.37,14.43,7,Night,65.16,101.54
R018,30.08,1.71,13.32,4,Night,63.51,77.93
R001,18.95,2.22,11.37,26,Evening,64.46,68.9
R003,18.45,2.31,8.55,4,Night,33.64,58.32
R016,18.1,2.68,8.09,17,Afternoon,34.77,65.24
R005,36.61,2.12,18.42,5,Night,82.62,113.23
R020,41.25,2.74,21.08,8,Night,81.41,151.11
R018,37.69,2.32,21.96,20,Evening,107.18,132.98
R007,18.87,2.61,10.33,9,Night,37.43,67.94
R012,37.43,3.31,17.46,20,Morning,112.93,165.91
R013,28.18,2.71,13.69,22,Evening,96.68,111.55
R005,40.37,3.46,19.5,26,Evening,122.61,186.19
R011,33.27,2.52,16.12,11,Afternoon,89.09,119.04
R002,23.26,3.03,13.75,26,Morning,77.12,102.2
R007,16.77,3.39,8.06,18,Morning,66.6,79.94
R010,29.83,1.94,13.77,16,Afternoon,67.11,86.57
R008,25.66,3.26,10.62,19,Morning,88.36,113.96
R001,22.08,2.41,11.13,13,Afternoon,57.14,77.15
R011,33.29,2.04,16.7,10,Night,68.58,99.37
R008,23.53,2.09,13.83,15,Afternoon,49.77,74.53
R020,36.3,3.18,15.51,28,Morning,129.89,159.63
R013,26.78,2.9,13.98,20,Morning,79.9,109.58
R001,18.02,3.02,8.11,19,Morning,62.6,76.88
R019,7.89,3.19,6.07,18,Morning,35.68,40.21
R002,28.34,2.97,14.51,16,Afternoon,76.63,115.49
R017,29.17,2.07,15.77,12,Night,63.2,90.09
R010,34.91,2.96,19.88,27,Evening,103.85,146.78
R005,32.43,2.86,16.97,13,Afternoon,74.22,125.92
R016,20.84,2.48,11.54,21,Evening,57.03,76.75
R018,32.41,2.71,15.99,16,Morning,98.6,125.29
R014,21.69,2.51,11.88,22,Afternoon,60.26,80.64
R004,37.54,2.72,18.82,28,Morning,124.07,148.59
R014,21.24,2.28,12.35,5,Night,44.37,70.25
R005,35.06,1.96,20.9,7,Night,73.65,104.98
R009,39.19,2.53,15.77,16,Morning,133.48,143.15
R006,34.05,2.35,15.84,11,Afternoon,80.8,113.24
R003,24.39,2.8,15.79,23,Evening,72.73,100.88
R013,24.27,2.42,12.57,9,Night,55.38,83.34
R010,33.88,1.98,21.72,11,Night,65.34,102.85
R008,22.22,2.94,10.47,27,Evening,64.74,91.53
R004,36.19,3.34,17.59,18,Morning,126.07,165.52
R006,36.06,3.6,18.68,18,Morning,115.76,173.56
R008,21.35,2.33,11.0,8,Night,44.97,70.48
R005,41.53,2.88,20.07,28,Evening,129.56,168.5
R004,36.19,2.65,17.21,16,Morning,120.07,138.64
R002,32.16,3.08,12.81,20,Evening,98.16,133.58
R010,26.66,2.65,14.64,4,Night,53.11,96.43
R011,36.61,2.43,17.05,5,Night,72.5,121.08
R014,22.17,2.55,7.7,3,Night,50.45,74.51
R009,37.56,1.98,18.32,20,Evening,116.44,118.12
R017,36.22,1.84,17.62,6,Night,71.35,99.29
R017,36.89,2.89,20.66,23,Evening,111.72,151.98
R007,19.39,2.42,12.39,18,Morning,60.87,73.28
R017,40.26,2.86,16.83,23,Morning,135.4,161.26
R017,41.78,2.49,20.29,15,Afternoon,100.86,146.18
R018,33.73,2.76,15.46,25,Evening,96.83,130.42
R015,37.5,2.62,18.05,16,Morning,120.39,142.01
R014,21.17,2.4,9.38,24,Evening,61.97,75.01
R019,12.98,1.91,8.34,9,Night,25.22,39.1
R012,36.92,2.74,17.79,23,Evening,118.82,144.99
R007,22.51,2.93,11.29,15,Morning,75.43,93.92
R011,28.11,2.67,18.07,19,Afternoon,73.87,109.67
R010,32.77,2.79,19.71,14,Afternoon,86.99,130.09
R014,23.11,2.22,11.11,10,Night,51.06,73.59
R020,40.12,2.4,15.82,20,Evening,118.27,137.93
R011,28.33,2.14,15.16,6,Night,58.78,88.19
R010,28.04,2.92,16.15,23,Morning,91.91,118.67
R005,37.12,2.5,19.09,17,Afternoon,96.47,133.01
R015,37.29,2.31,19.19,11,Night,69.47,120.17
R017,32.78,2.65,14.31,18,Afternoon,88.35,120.67
R015,40.34,2.3,22.23,5,Night,74.74,130.59
R013,28.92,2.94,14.41,21,Morning,90.39,119.57
R010,26.95,1.97,11.73,9,Afternoon,71.35,80.07
R018,36.0,2.69,18.92,3,Night,71.0,130.11
R005,38.69,2.45,21.01,11,Morning,127.09,142.25
R019,10.75,2.96,6.41,16,Morning,42.71,48.4
R020,33.9,2.55,13.29,15,Afternoon,100.59,121.47
R015,40.64,3.65,19.1,22,Morning,129.57,195.41
R002,27.29,2.28,14.75,9,Night,54.74,88.76
R013,27.47,3.62,12.98,15,Morning,92.84,132.59
R013,27.95,2.54,14.37,35,Evening,82.91,105.51
R010,30.37,2.69,18.32,12,Afternoon,77.65,116.81
R013,28.96,1.93,13.91,10,Afternoon,67.98,84.46
R007,25.56,2.43,10.41,11,Afternoon,61.9,85.98
R004,38.47,2.55,18.77,13,Evening,126.49,143.5
R018,40.06,2.28,16.62,8,Afternoon,107.07,130.09
R015,34.3,2.99,18.51,23,Evening,102.6,143.92
R011,34.39,2.41,16.23,10,Night,67.36,113.45
R006,33.66,2.96,17.64,23,Evening,105.12,140.63
R008,24.81,2.19,13.82,8,Night,52.51,79.4
R014,23.12,2.5,8.85,22,Evening,67.48,82.36
R002,28.89,2.24,14.21,12,Night,53.07,90.7
R015,31.58,2.23,18.16,7,Night,60.52,101.26
R006,37.9,2.43,19.65,24,Evening,114.49,136.92
R009,38.8,2.67,18.73,17,Afternoon,109.06,145.74
R006,35.7,2.95,21.22,16,Afternoon,86.94,145.5
R013,23.91,2.58,13.19,22,Evening,78.49,92.65
R018,34.11,2.79,18.28,14,Evening,96.21,134.09
R001,21.27,2.71,12.5,21,Evening,69.06,86.14
R012,34.67,2.81,20.7,15,Afternoon,84.39,136.66
R002,23.1,2.1,13.15,8,Night,46.92,71.74
R014,22.97,2.41,8.18,20,Afternoon,57.18,77.04
R007,19.94,3.1,7.32,19,Morning,71.79,85.39
R005,42.15,3.26,18.26,22,Evening,123.14,182.39
R010,31.22,2.58,16.91,4,Night,56.88,109.33
R005,40.64,2.23,21.05,4,Night,86.48,129.21
R005,37.45,2.12,17.48,6,Night,72.75,112.05
R002,30.75,3.12,17.37,20,Morning,81.11,131.67
R020,36.18,2.96,18.65,22,Evening,104.65,148.98
R015,35.69,2.49,19.18,22,Afternoon,86.64,127.65
R016,20.9,2.16,11.06,16,Afternoon,48.48,67.41
